time_stamp,time_index,same_time_count,time,period,adj_time,away,home,total,play,player,fg_makes,fg_misses,3_makes,3_misses,ft_makes,ft_misses,points,team
4 48.0 97 106 1,4 48.0 97 106,1,1900-01-01 00:00:48,4,0 days 00:47:12,97,106,203,Duncan Robinson shooting foul,,,,,,,,,
4 57.3 97 106 1,4 57.3 97 106,1,1900-01-01 00:00:57,4,0 days 00:47:03,97,106,203,Andre Drummond defensive rebound,,,,,,,,,
4 59.5 97 106 1,4 59.5 97 106,1,1900-01-01 00:00:59,4,0 days 00:47:01,97,106,203,Bam Adebayo makes shot (Jimmy Butler assists),Bam Adebayo,1,,,,,,2,Miami Heat
4 1:08 97 104 1,4 1:08 97 104,1,1900-01-01 00:01:08,4,0 days 00:46:52,97,104,201,Andre Iguodala defensive rebound,,,,,,,,,
4 1:11 97 104 1,4 1:11 97 104,1,1900-01-01 00:01:11,4,0 days 00:46:49,97,104,201,Andre Drummond misses shot,Andre Drummond,,,,,,,,
4 1:24 97 104 1,4 1:24 97 104,1,1900-01-01 00:01:24,4,0 days 00:46:36,97,104,201,Andre Iguodala offensive foul,,,,,,,,,
4 1:36 97 104 1,4 1:36 97 104,1,1900-01-01 00:01:36,4,0 days 00:46:24,97,104,201,Wesley Matthews makes 23-foot three point jumper (Kentavious Caldwell-Pope assists),Wesley Matthews,,,1,,,,3,Los Angeles Lakers
4 1:47 94 104 1,4 1:47 94 104,1,1900-01-01 00:01:47,4,0 days 00:46:13,94,104,198,Tyler Herro turnover,,,,,,,,,
4 1:53 94 104 1,4 1:53 94 104,1,1900-01-01 00:01:53,4,0 days 00:46:07,94,104,198,Bam Adebayo offensive rebound,,,,,,,,,
4 1:58 94 104 1,4 1:58 94 104,1,1900-01-01 00:01:58,4,0 days 00:46:02,94,104,198,Bam Adebayo misses shot,Bam Adebayo,,,,,,,,
4 2:14 94 104 1,4 2:14 94 104,1,1900-01-01 00:02:14,4,0 days 00:45:46,94,104,198,Jimmy Butler makes technical free throw,Jimmy Butler,,,,,1,,1,
4 2:14 94 103 1,4 2:14 94 103,1,1900-01-01 00:02:14,4,0 days 00:45:46,94,103,197,Jimmy Butler makes technical free throw,Jimmy Butler,,,,,1,,1,
4 2:14 94 102 1,4 2:14 94 102,1,1900-01-01 00:02:14,4,0 days 00:45:46,94,102,196,Bam Adebayo defensive rebound,,,,,,,,,
4 2:16 94 102 1,4 2:16 94 102,1,1900-01-01 00:02:16,4,0 days 00:45:44,94,102,196,Markieff Morris misses shot,Markieff Morris,,,,,,,,
4 2:24 94 102 1,4 2:24 94 102,1,1900-01-01 00:02:24,4,0 days 00:45:36,94,102,196,Lakers offensive team rebound,,,,,,,,,
4 2:25 94 102 1,4 2:25 94 102,1,1900-01-01 00:02:25,4,0 days 00:45:35,94,102,196,Kentavious Caldwell-Pope misses 24-foot three point jumper,Kentavious Caldwell-Pope,,,,1,,,,
4 2:49 94 102 1,4 2:49 94 102,1,1900-01-01 00:02:49,4,0 days 00:45:11,94,102,196,Duncan Robinson makes 26-foot three point jumper (Bam Adebayo assists),Duncan Robinson,,,1,,,,3,Miami Heat
4 3:02 94 99 1,4 3:02 94 99,1,1900-01-01 00:03:02,4,0 days 00:44:58,94,99,193,Tyler Herro defensive rebound,,,,,,,,,
4 3:05 94 99 1,4 3:05 94 99,1,1900-01-01 00:03:05,4,0 days 00:44:55,94,99,193,Markieff Morris misses 24-foot three point jumper,Markieff Morris,,,,1,,,,
4 3:06 94 99 1,4 3:06 94 99,1,1900-01-01 00:03:06,4,0 days 00:44:54,94,99,193,Andre Drummond offensive rebound,,,,,,,,,
4 3:08 94 99 1,4 3:08 94 99,1,1900-01-01 00:03:08,4,0 days 00:44:52,94,99,193,Dennis Schroder misses driving floating jump shot,Dennis Schroder,,,,,,,,
4 3:21 94 99 1,4 3:21 94 99,1,1900-01-01 00:03:21,4,0 days 00:44:39,94,99,193,Duncan Robinson personal foul,,,,,,,,,
4 3:30 94 99 1,4 3:30 94 99,1,1900-01-01 00:03:30,4,0 days 00:44:30,94,99,193,Andre Drummond defensive rebound,,,,,,,,,
4 3:35 94 99 1,4 3:35 94 99,1,1900-01-01 00:03:35,4,0 days 00:44:25,94,99,193,Markieff Morris blocks Jimmy Butler 's 15-foot step back jumpshot,Jimmy Butler,,1,,,,,,
4 3:58 94 99 1,4 3:58 94 99,1,1900-01-01 00:03:58,4,0 days 00:44:02,94,99,193,Dennis Schroder makes driving layup,Dennis Schroder,1,,,,,,2,Los Angeles Lakers
4 4:08 92 99 1,4 4:08 92 99,1,1900-01-01 00:04:08,4,0 days 00:43:52,92,99,191,Lakers Full timeout,,,,,,,,,
4 4:10 92 99 1,4 4:10 92 99,1,1900-01-01 00:04:10,4,0 days 00:43:50,92,99,191,Tyler Herro makes 19-foot pullup jump shot,Tyler Herro,1,,,,,,2,Miami Heat
4 4:20 92 97 1,4 4:20 92 97,1,1900-01-01 00:04:20,4,0 days 00:43:40,92,97,189,Jimmy Butler defensive rebound,,,,,,,,,
4 4:23 92 97 1,4 4:23 92 97,1,1900-01-01 00:04:23,4,0 days 00:43:37,92,97,189,Markieff Morris misses 28-foot three point jumper,Markieff Morris,,,,1,,,,
4 4:46 92 97 1,4 4:46 92 97,1,1900-01-01 00:04:46,4,0 days 00:43:14,92,97,189,Jimmy Butler makes 19-foot pullup jump shot,Jimmy Butler,1,,,,,,2,Miami Heat
4 5:07 92 95 1,4 5:07 92 95,1,1900-01-01 00:05:07,4,0 days 00:42:53,92,95,187,Markieff Morris makes 26-foot three point jumper (Dennis Schroder assists),Markieff Morris,,,1,,,,3,Los Angeles Lakers
4 5:16 89 95 1,4 5:16 89 95,1,1900-01-01 00:05:16,4,0 days 00:42:44,89,95,184,Jimmy Butler turnover,,,,,,,,,
4 5:16 89 95 2,4 5:16 89 95,2,1900-01-01 00:05:16,4,0 days 00:42:44,89,95,184,Jimmy Butler offensive foul,,,,,,,,,
4 5:35 89 95 1,4 5:35 89 95,1,1900-01-01 00:05:35,4,0 days 00:42:25,89,95,184,Dennis Schroder enters the game for Wesley Matthews,,,,,,,,,
4 5:35 89 95 2,4 5:35 89 95,2,1900-01-01 00:05:35,4,0 days 00:42:25,89,95,184,Jimmy Butler enters the game for Victor Oladipo,,,,,,,,,
4 5:35 89 95 3,4 5:35 89 95,3,1900-01-01 00:05:35,4,0 days 00:42:25,89,95,184,Heat Full timeout,,,,,,,,,
4 5:35 89 95 4,4 5:35 89 95,4,1900-01-01 00:05:35,4,0 days 00:42:25,89,95,184,Kentavious Caldwell-Pope out of bounds lost ball turnover,,,,,,,,,
4 5:51 89 95 1,4 5:51 89 95,1,1900-01-01 00:05:51,4,0 days 00:42:09,89,95,184,Victor Oladipo makes 2-foot dunk (Bam Adebayo assists),Victor Oladipo,1,,,,,,2,Miami Heat
4 5:57 89 93 1,4 5:57 89 93,1,1900-01-01 00:05:57,4,0 days 00:42:03,89,93,182,Duncan Robinson makes technical free throw,Duncan Robinson,,,,,1,,1,
4 5:57 89 92 1,4 5:57 89 92,1,1900-01-01 00:05:57,4,0 days 00:42:03,89,92,181,"Markieff Morris defensive 3-seconds (technical foul)
",,,,,,,,,
4 6:10 89 92 1,4 6:10 89 92,1,1900-01-01 00:06:10,4,0 days 00:41:50,89,92,181,Heat Full timeout,,,,,,,,,
4 6:11 89 92 1,4 6:11 89 92,1,1900-01-01 00:06:11,4,0 days 00:41:49,89,92,181,Kentavious Caldwell-Pope makes 24-foot three point jumper (Alex Caruso assists),Kentavious Caldwell-Pope,,,1,,,,3,Los Angeles Lakers
4 6:23 86 92 1,4 6:23 86 92,1,1900-01-01 00:06:23,4,0 days 00:41:37,86,92,178,Kentavious Caldwell-Pope defensive rebound,,,,,,,,,
4 6:28 86 92 1,4 6:28 86 92,1,1900-01-01 00:06:28,4,0 days 00:41:32,86,92,178,Andre Iguodala misses 26-foot three point jumper,Andre Iguodala,,,,1,,,,
4 6:36 86 92 1,4 6:36 86 92,1,1900-01-01 00:06:36,4,0 days 00:41:24,86,92,178,Victor Oladipo defensive rebound,,,,,,,,,
4 6:40 86 92 1,4 6:40 86 92,1,1900-01-01 00:06:40,4,0 days 00:41:20,86,92,178,Alex Caruso misses 27-foot three point jumper,Alex Caruso,,,,1,,,,
4 6:53 86 92 1,4 6:53 86 92,1,1900-01-01 00:06:53,4,0 days 00:41:07,86,92,178,Alex Caruso enters the game for Dennis Schroder,,,,,,,,,
4 6:53 86 92 2,4 6:53 86 92,2,1900-01-01 00:06:53,4,0 days 00:41:07,86,92,178,Duncan Robinson enters the game for Goran Dragic,,,,,,,,,
4 6:53 86 92 3,4 6:53 86 92,3,1900-01-01 00:06:53,4,0 days 00:41:07,86,92,178,shot clock turnover ,,,,,,,,,
4 7:18 86 92 1,4 7:18 86 92,1,1900-01-01 00:07:18,4,0 days 00:40:42,86,92,178,Dennis Schroder makes free throw 2 of 2,Dennis Schroder,,,,,1,,1,
4 7:18 85 92 1,4 7:18 85 92,1,1900-01-01 00:07:18,4,0 days 00:40:42,85,92,177,Victor Oladipo enters the game for Jimmy Butler,,,,,,,,,
4 7:18 85 92 2,4 7:18 85 92,2,1900-01-01 00:07:18,4,0 days 00:40:42,85,92,177,Bam Adebayo enters the game for Precious Achiuwa,,,,,,,,,
4 7:18 85 92 3,4 7:18 85 92,3,1900-01-01 00:07:18,4,0 days 00:40:42,85,92,177,Dennis Schroder makes free throw 1 of 2,Dennis Schroder,,,,,1,,1,
4 7:18 84 92 1,4 7:18 84 92,1,1900-01-01 00:07:18,4,0 days 00:40:42,84,92,176,Andre Iguodala shooting foul,,,,,,,,,
4 7:22 84 92 1,4 7:22 84 92,1,1900-01-01 00:07:22,4,0 days 00:40:38,84,92,176,Andre Iguodala bad pass (Kentavious Caldwell-Pope steals),,,,,,,,,
4 7:27 84 92 1,4 7:27 84 92,1,1900-01-01 00:07:27,4,0 days 00:40:33,84,92,176,Andre Drummond bad pass (Andre Iguodala steals),,,,,,,,,
4 7:42 84 92 1,4 7:42 84 92,1,1900-01-01 00:07:42,4,0 days 00:40:18,84,92,176,Andre Drummond defensive goaltending violation,,,,,,,,,
4 7:42 84 92 2,4 7:42 84 92,2,1900-01-01 00:07:42,4,0 days 00:40:18,84,92,176,Goran Dragic makes 3-foot layup (Jimmy Butler assists),Goran Dragic,1,,,,,,2,Miami Heat
